family,case_id,method,mean_cost,mean_failures,representation_size,horizon,num_guards,dependency_width,dependency_topology,reuse_bias,probe_cost,failure_penalty,repair_penalty,irreversible_rate,guard_error_rate,false_positive_rate,false_negative_rate,confidence_mode,confidence_threshold,missing_guard_fraction,spurious_guard_fraction,control,relevant_guards,seed
G,G_00001,replan_on_failure,117.0,7.5,64.0,64,16,2,clustered,0.55,8.0,4.0,1.0,0.35,1.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,expensive_probe,16,726027
G,G_00001,gcs_eager,292.0,14.0,273.0,64,16,2,clustered,0.55,8.0,4.0,1.0,0.35,1.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,expensive_probe,16,726027
G,G_00001,gcs_lazy,103.0,5.5,300.3,64,16,2,clustered,0.55,8.0,4.0,1.0,0.35,1.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,expensive_probe,16,726027
G,G_00001,gcs_robust,548.0,14.0,327.6,64,16,2,clustered,0.55,8.0,4.0,1.0,0.35,1.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,expensive_probe,16,726027
G,G_00001,no_sharing_gcs,292.0,14.0,4325375.0,64,16,2,clustered,0.55,8.0,4.0,1.0,0.35,1.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,expensive_probe,16,726027
G,G_00001,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,8.0,4.0,1.0,0.35,1.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,expensive_probe,16,726027
G,G_00002,replan_on_failure,85.333333,3.166667,64.0,64,16,8,dense,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,dense_all_guards,16,726028
G,G_00002,gcs_eager,65.28,0.0,16401.0,64,16,8,dense,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,dense_all_guards,16,726028
G,G_00002,gcs_lazy,65.28,0.0,18041.1,64,16,8,dense,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,dense_all_guards,16,726028
G,G_00002,gcs_robust,67.84,0.0,19681.2,64,16,8,dense,0.55,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,dense_all_guards,16,726028
