method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
gcs_eager,900,150.027867,8.939259,3498.491,150.027867,161.8,-11.772133
gcs_lazy,900,129.564904,9.669815,3848.34,150.027867,161.8,-32.235096
gcs_robust,900,202.205822,8.939259,4198.189,150.027867,161.8,40.405822
no_sharing_gcs,900,150.027867,8.939259,4101897.24,150.027867,161.8,-11.772133
oracle_assignment,900,64.0,0.0,64.0,150.027867,161.8,-97.8
replan_on_failure,900,161.8,14.61463,64.0,150.027867,161.8,0.0
