method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
gcs_eager,4320,58.450704,0.0,293649.033,58.450704,92.508719,-34.058015
gcs_lazy,4320,58.450704,0.0,323013.937,58.450704,92.508719,-34.058015
linear_default,4320,312.536806,44.744985,57.333,58.450704,92.508719,220.028086
no_sharing_gcs,4320,58.450704,0.0,79098245240.743,58.450704,92.508719,-34.058015
oracle_assignment,4320,57.333333,0.0,57.333,58.450704,92.508719,-35.175386
probe_all_tree,4320,58.506667,0.0,93332375028.333,58.450704,92.508719,-34.002052
relevant_unshared_tree,4320,58.450704,0.0,79098245240.743,58.450704,92.508719,-34.058015
replan_on_failure,4320,92.508719,5.248032,57.333,58.450704,92.508719,0.0
