dependency_topology,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
banded,gcs_eager,864,58.496852,0.0,435.988,58.496852,102.63966,-44.142809
banded,gcs_lazy,864,58.496852,0.0,479.587,58.496852,102.63966,-44.142809
banded,linear_default,864,295.150656,41.73939,57.333,58.496852,102.63966,192.510995
banded,no_sharing_gcs,864,58.496852,0.0,83299779472.75,58.496852,102.63966,-44.142809
banded,oracle_assignment,864,57.333333,0.0,57.333,58.496852,102.63966,-45.306327
banded,probe_all_tree,864,58.506667,0.0,93332375028.333,58.496852,102.63966,-44.132994
banded,relevant_unshared_tree,864,58.496852,0.0,83299779472.75,58.496852,102.63966,-44.142809
banded,replan_on_failure,864,102.63966,6.766011,57.333,58.496852,102.63966,0.0
clustered,gcs_eager,864,58.475,0.0,428.269,58.475,97.722608,-39.247608
clustered,gcs_lazy,864,58.475,0.0,471.095,58.475,97.722608,-39.247608
clustered,linear_default,864,294.994213,41.672454,57.333,58.475,97.722608,197.271605
clustered,no_sharing_gcs,864,58.475,0.0,69389954794.065,58.475,97.722608,-39.247608
clustered,oracle_assignment,864,57.333333,0.0,57.333,58.475,97.722608,-40.389275
clustered,probe_all_tree,864,58.506667,0.0,93332375028.333,58.475,97.722608,-39.215941
clustered,relevant_unshared_tree,864,58.475,0.0,69389954794.065,58.475,97.722608,-39.247608
clustered,replan_on_failure,864,97.722608,6.036844,57.333,58.475,97.722608,0.0
dense,gcs_eager,864,58.506667,0.0,1466511.667,58.506667,76.319444,-17.812778
dense,gcs_lazy,864,58.506667,0.0,1613162.833,58.506667,76.319444,-17.812778
dense,linear_default,864,380.107446,56.61439,57.333,58.506667,76.319444,303.788002
dense,no_sharing_gcs,864,58.506667,0.0,93332375028.333,58.506667,76.319444,-17.812778
dense,oracle_assignment,864,57.333333,0.0,57.333,58.506667,76.319444,-18.986111
dense,probe_all_tree,864,58.506667,0.0,93332375028.333,58.506667,76.319444,-17.812778
dense,relevant_unshared_tree,864,58.506667,0.0,93332375028.333,58.506667,76.319444,-17.812778
dense,replan_on_failure,864,76.319444,2.823302,57.333,58.506667,76.319444,0.0
suffix_unique,gcs_eager,864,58.275556,0.0,433.222,58.275556,87.36034,-29.084784
suffix_unique,gcs_lazy,864,58.275556,0.0,476.544,58.275556,87.36034,-29.084784
suffix_unique,linear_default,864,297.015046,41.943673,57.333,58.275556,87.36034,209.654707
suffix_unique,no_sharing_gcs,864,58.275556,0.0,62131094129.667,58.275556,87.36034,-29.084784
suffix_unique,oracle_assignment,864,57.333333,0.0,57.333,58.275556,87.36034,-30.027006
suffix_unique,probe_all_tree,864,58.506667,0.0,93332375028.333,58.275556,87.36034,-28.853673
suffix_unique,relevant_unshared_tree,864,58.275556,0.0,62131094129.667,58.275556,87.36034,-29.084784
suffix_unique,replan_on_failure,864,87.36034,4.469714,57.333,58.275556,87.36034,0.0
uniform_sparse,gcs_eager,864,58.499444,0.0,436.021,58.499444,98.501543,-40.002099
uniform_sparse,gcs_lazy,864,58.499444,0.0,479.623,58.499444,98.501543,-40.002099
uniform_sparse,linear_default,864,295.416667,41.755015,57.333,58.499444,98.501543,196.915123
uniform_sparse,no_sharing_gcs,864,58.499444,0.0,87338022778.898,58.499444,98.501543,-40.002099
uniform_sparse,oracle_assignment,864,57.333333,0.0,57.333,58.499444,98.501543,-41.16821
uniform_sparse,probe_all_tree,864,58.506667,0.0,93332375028.333,58.499444,98.501543,-39.994877
uniform_sparse,relevant_unshared_tree,864,58.499444,0.0,87338022778.898,58.499444,98.501543,-40.002099
uniform_sparse,replan_on_failure,864,98.501543,6.14429,57.333,58.499444,98.501543,0.0
