family,case_id,method,mean_cost,mean_failures,representation_size,horizon,num_guards,dependency_width,dependency_topology,reuse_bias,probe_cost,failure_penalty,repair_penalty,irreversible_rate,guard_error_rate,false_positive_rate,false_negative_rate,confidence_mode,confidence_threshold,missing_guard_fraction,spurious_guard_fraction,control,relevant_guards,seed
F,F_00001,replan_on_failure,76.0,6.0,64.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626027
F,F_00001,probe_all_local,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626027
F,F_00001,gcs_eager,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626027
F,F_00001,gcs_lazy,65.28,0.0,300.3,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626027
F,F_00001,no_sharing_gcs,65.28,0.0,4325375.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626027
F,F_00001,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626027
F,F_00002,replan_on_failure,78.0,7.0,64.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626028
F,F_00002,probe_all_local,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626028
F,F_00002,gcs_eager,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626028
F,F_00002,gcs_lazy,65.28,0.0,300.3,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626028
F,F_00002,no_sharing_gcs,65.28,0.0,4325375.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626028
F,F_00002,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626028
F,F_00003,replan_on_failure,81.0,8.5,64.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626029
F,F_00003,probe_all_local,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626029
F,F_00003,gcs_eager,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626029
F,F_00003,gcs_lazy,65.28,0.0,300.3,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626029
F,F_00003,no_sharing_gcs,65.28,0.0,4325375.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626029
F,F_00003,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626029
F,F_00004,replan_on_failure,75.75,5.875,64.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626030
F,F_00004,probe_all_local,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626030
F,F_00004,gcs_eager,65.28,0.0,273.0,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626030
F,F_00004,gcs_lazy,65.28,0.0,300.3,64,16,2,clustered,0.55,0.08,0.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,zero_failure_penalty,16,626030
