dependency_topology,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
banded,behavior_tree_fallback,405,65.274667,0.0,207.933,65.274667,113.534156,-48.25949
banded,belief_cost_proxy,405,101.845267,5.67037,64.0,65.274667,113.534156,-11.688889
banded,delayed_gcs,405,114.100181,7.41358,486.267,65.274667,113.534156,0.566025
banded,gcs_eager,405,65.274667,0.0,486.267,65.274667,113.534156,-48.25949
banded,gcs_lazy,405,65.274667,0.0,534.893,65.274667,113.534156,-48.25949
banded,gcs_robust,405,67.824,0.0,583.52,65.274667,113.534156,-45.710156
banded,gcs_thresholded,405,96.923193,4.884774,534.893,65.274667,113.534156,-16.610963
banded,linear_default,405,327.467901,46.248148,64.0,65.274667,113.534156,213.933745
banded,myopic_voi,405,65.274667,0.0,534.893,65.274667,113.534156,-48.25949
banded,no_dominance_gcs,405,65.274667,0.0,720.46,65.274667,113.534156,-48.25949
banded,no_sharing_gcs,405,65.274667,0.0,526111846.664,65.274667,113.534156,-48.25949
banded,oracle_assignment,405,64.0,0.0,64.0,65.274667,113.534156,-49.534156
banded,probe_all_local,405,65.274667,0.0,486.267,65.274667,113.534156,-48.25949
banded,probe_all_tree,405,65.28,0.0,549500415.0,65.274667,113.534156,-48.254156
banded,replan_on_failure,405,113.534156,7.41358,64.0,65.274667,113.534156,0.0
clustered,behavior_tree_fallback,405,65.240494,0.0,207.506,65.240494,108.174486,-42.933992
clustered,belief_cost_proxy,405,98.316872,5.134979,64.0,65.240494,108.174486,-9.857613
clustered,delayed_gcs,405,108.594469,6.609465,485.84,65.240494,108.174486,0.419984
clustered,gcs_eager,405,65.240494,0.0,485.84,65.240494,108.174486,-42.933992
clustered,gcs_lazy,405,65.240494,0.0,534.423,65.240494,108.174486,-42.933992
clustered,gcs_robust,405,67.721481,0.0,583.007,65.240494,108.174486,-40.453004
clustered,gcs_thresholded,405,93.926749,4.431276,534.423,65.240494,108.174486,-14.247737
clustered,linear_default,405,329.062551,46.56214,64.0,65.240494,108.174486,220.888066
clustered,myopic_voi,405,65.240494,0.0,534.423,65.240494,108.174486,-42.933992
clustered,no_dominance_gcs,405,65.240494,0.0,719.883,65.240494,108.174486,-42.933992
clustered,no_sharing_gcs,405,65.240494,0.0,401282132.649,65.240494,108.174486,-42.933992
clustered,oracle_assignment,405,64.0,0.0,64.0,65.240494,108.174486,-44.174486
clustered,probe_all_local,405,65.240494,0.0,485.84,65.240494,108.174486,-42.933992
clustered,probe_all_tree,405,65.28,0.0,549500415.0,65.240494,108.174486,-42.894486
clustered,replan_on_failure,405,108.174486,6.609465,64.0,65.240494,108.174486,0.0
dense,behavior_tree_fallback,405,65.28,0.0,208.0,65.28,86.632922,-21.352922
dense,belief_cost_proxy,405,83.938272,2.967078,64.0,65.28,86.632922,-2.69465
dense,delayed_gcs,405,86.756807,3.373663,136721.0,65.28,86.632922,0.123885
dense,gcs_eager,405,65.28,0.0,136721.0,65.28,86.632922,-21.352922
dense,gcs_lazy,405,65.28,0.0,150393.1,65.28,86.632922,-21.352922
dense,gcs_robust,405,67.84,0.0,164065.2,65.28,86.632922,-18.792922
dense,gcs_thresholded,405,82.743144,2.747325,150393.1,65.28,86.632922,-3.889778
dense,linear_default,405,424.854321,63.219753,64.0,65.28,86.632922,338.221399
dense,myopic_voi,405,65.28,0.0,150393.1,65.28,86.632922,-21.352922
dense,no_dominance_gcs,405,65.28,0.0,184637.35,65.28,86.632922,-21.352922
dense,no_sharing_gcs,405,65.28,0.0,549500415.0,65.28,86.632922,-21.352922
dense,oracle_assignment,405,64.0,0.0,64.0,65.28,86.632922,-22.632922
dense,probe_all_local,405,65.28,0.0,136721.0,65.28,86.632922,-21.352922
dense,probe_all_tree,405,65.28,0.0,549500415.0,65.28,86.632922,-21.352922
dense,replan_on_failure,405,86.632922,3.373663,64.0,65.28,86.632922,0.0
