guard_error_rate,confidence_mode,confidence_threshold,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
0.0,adversarial,0.55,gcs_eager,10,65.272,0.0,272.9,65.272,109.45,-44.178
0.0,adversarial,0.55,gcs_lazy,10,65.272,0.0,300.19,65.272,109.45,-44.178
0.0,adversarial,0.55,gcs_robust,10,67.816,0.0,327.48,65.272,109.45,-41.634
0.0,adversarial,0.55,gcs_thresholded,10,65.272,0.0,300.19,65.272,109.45,-44.178
0.0,adversarial,0.55,replan_on_failure,10,109.45,6.775,64.0,65.272,109.45,0.0
0.0,adversarial,0.7,gcs_eager,10,65.264,0.0,272.8,65.264,109.8,-44.536
0.0,adversarial,0.7,gcs_lazy,10,65.264,0.0,300.08,65.264,109.8,-44.536
0.0,adversarial,0.7,gcs_robust,10,67.792,0.0,327.36,65.264,109.8,-42.008
0.0,adversarial,0.7,gcs_thresholded,10,64.502,0.0,300.08,65.264,109.8,-45.298
0.0,adversarial,0.7,replan_on_failure,10,109.8,6.925,64.0,65.264,109.8,0.0
0.0,adversarial,0.85,gcs_eager,10,65.272,0.0,272.9,65.272,113.325,-48.053
0.0,adversarial,0.85,gcs_lazy,10,65.272,0.0,300.19,65.272,113.325,-48.053
0.0,adversarial,0.85,gcs_robust,10,67.816,0.0,327.48,65.272,113.325,-45.509
0.0,adversarial,0.85,gcs_thresholded,10,64.472,0.0,300.19,65.272,113.325,-48.853
0.0,adversarial,0.85,replan_on_failure,10,113.325,7.3625,64.0,65.272,113.325,0.0
0.0,calibrated,0.55,gcs_eager,10,65.28,0.0,273.0,65.28,111.725,-46.445
0.0,calibrated,0.55,gcs_lazy,10,65.28,0.0,300.3,65.28,111.725,-46.445
0.0,calibrated,0.55,gcs_robust,10,67.84,0.0,327.6,65.28,111.725,-43.885
0.0,calibrated,0.55,gcs_thresholded,10,76.762,1.8,300.3,65.28,111.725,-34.963
0.0,calibrated,0.55,replan_on_failure,10,111.725,7.1875,64.0,65.28,111.725,0.0
0.0,calibrated,0.7,gcs_eager,10,65.28,0.0,273.0,65.28,113.45,-48.17
0.0,calibrated,0.7,gcs_lazy,10,65.28,0.0,300.3,65.28,113.45,-48.17
0.0,calibrated,0.7,gcs_robust,10,67.84,0.0,327.6,65.28,113.45,-45.61
0.0,calibrated,0.7,gcs_thresholded,10,95.874,4.6,300.3,65.28,113.45,-17.576
0.0,calibrated,0.7,replan_on_failure,10,113.45,7.325,64.0,65.28,113.45,0.0
0.0,calibrated,0.85,gcs_eager,10,65.272,0.0,272.9,65.272,111.825,-46.553
0.0,calibrated,0.85,gcs_lazy,10,65.272,0.0,300.19,65.272,111.825,-46.553
0.0,calibrated,0.85,gcs_robust,10,67.816,0.0,327.48,65.272,111.825,-44.009
0.0,calibrated,0.85,gcs_thresholded,10,100.45,5.475,300.19,65.272,111.825,-11.375
0.0,calibrated,0.85,replan_on_failure,10,111.825,7.175,64.0,65.272,111.825,0.0
0.0,overconfident,0.55,gcs_eager,10,65.264,0.0,272.8,65.264,112.25,-46.986
0.0,overconfident,0.55,gcs_lazy,10,65.264,0.0,300.08,65.264,112.25,-46.986
0.0,overconfident,0.55,gcs_robust,10,67.792,0.0,327.36,65.264,112.25,-44.458
0.0,overconfident,0.55,gcs_thresholded,10,65.264,0.0,300.08,65.264,112.25,-46.986
0.0,overconfident,0.55,replan_on_failure,10,112.25,7.1625,64.0,65.264,112.25,0.0
0.0,overconfident,0.7,gcs_eager,10,65.264,0.0,272.8,65.264,111.7,-46.436
0.0,overconfident,0.7,gcs_lazy,10,65.264,0.0,300.08,65.264,111.7,-46.436
0.0,overconfident,0.7,gcs_robust,10,67.792,0.0,327.36,65.264,111.7,-43.908
0.0,overconfident,0.7,gcs_thresholded,10,65.264,0.0,300.08,65.264,111.7,-46.436
0.0,overconfident,0.7,replan_on_failure,10,111.7,7.1125,64.0,65.264,111.7,0.0
0.0,overconfident,0.85,gcs_eager,10,65.264,0.0,272.8,65.264,110.725,-45.461
0.0,overconfident,0.85,gcs_lazy,10,65.264,0.0,300.08,65.264,110.725,-45.461
0.0,overconfident,0.85,gcs_robust,10,67.792,0.0,327.36,65.264,110.725,-42.933
0.0,overconfident,0.85,gcs_thresholded,10,65.264,0.0,300.08,65.264,110.725,-45.461
0.0,overconfident,0.85,replan_on_failure,10,110.725,7.0125,64.0,65.264,110.725,0.0
0.0,underconfident,0.55,gcs_eager,10,65.28,0.0,273.0,65.28,110.925,-45.645
0.0,underconfident,0.55,gcs_lazy,10,65.28,0.0,300.3,65.28,110.925,-45.645
0.0,underconfident,0.55,gcs_robust,10,67.84,0.0,327.6,65.28,110.925,-43.085
0.0,underconfident,0.55,gcs_thresholded,10,88.535,3.7125,300.3,65.28,110.925,-22.39
0.0,underconfident,0.55,replan_on_failure,10,110.925,7.1625,64.0,65.28,110.925,0.0
0.0,underconfident,0.7,gcs_eager,10,65.272,0.0,272.9,65.272,112.825,-47.553
0.0,underconfident,0.7,gcs_lazy,10,65.272,0.0,300.19,65.272,112.825,-47.553
0.0,underconfident,0.7,gcs_robust,10,67.816,0.0,327.48,65.272,112.825,-45.009
0.0,underconfident,0.7,gcs_thresholded,10,99.975,5.3875,300.19,65.272,112.825,-12.85
0.0,underconfident,0.7,replan_on_failure,10,112.825,7.3375,64.0,65.272,112.825,0.0
0.0,underconfident,0.85,gcs_eager,10,65.28,0.0,273.0,65.28,109.75,-44.47
0.0,underconfident,0.85,gcs_lazy,10,65.28,0.0,300.3,65.28,109.75,-44.47
0.0,underconfident,0.85,gcs_robust,10,67.84,0.0,327.6,65.28,109.75,-41.91
0.0,underconfident,0.85,gcs_thresholded,10,102.1,5.7125,300.3,65.28,109.75,-7.65
0.0,underconfident,0.85,replan_on_failure,10,109.75,6.9,64.0,65.28,109.75,0.0
0.02,adversarial,0.55,gcs_eager,10,67.705,0.35,273.0,67.705,110.975,-43.27
0.02,adversarial,0.55,gcs_lazy,10,67.78,0.375,300.3,67.705,110.975,-43.195
0.02,adversarial,0.55,gcs_robust,10,67.915,0.0125,327.6,67.705,110.975,-43.06
0.02,adversarial,0.55,gcs_thresholded,10,66.905,0.25,300.3,67.705,110.975,-44.07
0.02,adversarial,0.55,replan_on_failure,10,110.975,6.925,64.0,67.705,110.975,0.0
0.02,adversarial,0.7,gcs_eager,10,67.047,0.2625,272.9,67.047,112.775,-45.728
0.02,adversarial,0.7,gcs_lazy,10,67.022,0.2625,300.19,67.047,112.775,-45.753
0.02,adversarial,0.7,gcs_robust,10,67.891,0.0125,327.48,67.047,112.775,-44.884
0.02,adversarial,0.7,gcs_thresholded,10,65.631,0.175,300.19,67.047,112.775,-47.144
0.02,adversarial,0.7,replan_on_failure,10,112.775,7.425,64.0,67.047,112.775,0.0
0.02,adversarial,0.85,gcs_eager,10,67.106,0.2625,272.7,67.106,112.225,-45.119
0.02,adversarial,0.85,gcs_lazy,10,67.106,0.2875,299.97,67.106,112.225,-45.119
0.02,adversarial,0.85,gcs_robust,10,67.943,0.025,327.24,67.106,112.225,-44.282
0.02,adversarial,0.85,gcs_thresholded,10,65.033,0.0875,299.97,67.106,112.225,-47.192
0.02,adversarial,0.85,replan_on_failure,10,112.225,6.9875,64.0,67.106,112.225,0.0
0.02,calibrated,0.55,gcs_eager,10,66.74,0.2375,272.5,66.74,107.925,-41.185
0.02,calibrated,0.55,gcs_lazy,10,67.315,0.3125,299.75,66.74,107.925,-40.61
0.02,calibrated,0.55,gcs_robust,10,67.82,0.0125,327.0,66.74,107.925,-40.105
0.02,calibrated,0.55,gcs_thresholded,10,76.226,1.6625,299.75,66.74,107.925,-31.699
0.02,calibrated,0.55,replan_on_failure,10,107.925,6.5125,64.0,66.74,107.925,0.0
0.02,calibrated,0.7,gcs_eager,10,67.514,0.3375,272.8,67.514,112.325,-44.811
0.02,calibrated,0.7,gcs_lazy,10,67.164,0.2875,300.08,67.514,112.325,-45.161
0.02,calibrated,0.7,gcs_robust,10,67.792,0.0,327.36,67.514,112.325,-44.533
0.02,calibrated,0.7,gcs_thresholded,10,96.918,4.725,300.08,67.514,112.325,-15.407
0.02,calibrated,0.7,replan_on_failure,10,112.325,7.05,64.0,67.514,112.325,0.0
0.02,calibrated,0.85,gcs_eager,10,67.614,0.3625,272.8,67.614,111.275,-43.661
0.02,calibrated,0.85,gcs_lazy,10,67.539,0.35,300.08,67.614,111.275,-43.736
0.02,calibrated,0.85,gcs_robust,10,67.892,0.0125,327.36,67.614,111.275,-43.383
0.02,calibrated,0.85,gcs_thresholded,10,99.1,5.4,300.08,67.614,111.275,-12.175
