family,case_id,method,mean_cost,mean_failures,representation_size,horizon,num_guards,dependency_width,dependency_topology,reuse_bias,probe_cost,failure_penalty,repair_penalty,irreversible_rate,guard_error_rate,false_positive_rate,false_negative_rate,confidence_mode,confidence_threshold,missing_guard_fraction,spurious_guard_fraction,control,relevant_guards,seed
B,B_00001,replan_on_failure,81.1875,6.875,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226027
B,B_00001,probe_all_local,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226027
B,B_00001,gcs_eager,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226027
B,B_00001,gcs_lazy,64.32,0.0,300.3,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226027
B,B_00001,behavior_tree_fallback,64.32,0.0,208.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226027
B,B_00001,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226027
B,B_00002,replan_on_failure,81.1875,6.875,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226028
B,B_00002,probe_all_local,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226028
B,B_00002,gcs_eager,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226028
B,B_00002,gcs_lazy,64.32,0.0,300.3,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226028
B,B_00002,behavior_tree_fallback,64.32,0.0,208.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226028
B,B_00002,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226028
B,B_00003,replan_on_failure,79.9375,6.375,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226029
B,B_00003,probe_all_local,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226029
B,B_00003,gcs_eager,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226029
B,B_00003,gcs_lazy,64.32,0.0,300.3,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226029
B,B_00003,behavior_tree_fallback,64.32,0.0,208.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226029
B,B_00003,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226029
B,B_00004,replan_on_failure,81.1875,6.875,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226030
B,B_00004,probe_all_local,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226030
B,B_00004,gcs_eager,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226030
B,B_00004,gcs_lazy,64.32,0.0,300.3,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226030
B,B_00004,behavior_tree_fallback,64.32,0.0,208.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226030
B,B_00004,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226030
B,B_00005,replan_on_failure,83.6875,7.875,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226031
B,B_00005,probe_all_local,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226031
B,B_00005,gcs_eager,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226031
B,B_00005,gcs_lazy,64.32,0.0,300.3,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226031
B,B_00005,behavior_tree_fallback,64.32,0.0,208.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226031
B,B_00005,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226031
B,B_00006,replan_on_failure,79.3125,6.125,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226032
B,B_00006,probe_all_local,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226032
B,B_00006,gcs_eager,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226032
B,B_00006,gcs_lazy,64.32,0.0,300.3,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226032
B,B_00006,behavior_tree_fallback,64.32,0.0,208.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226032
B,B_00006,oracle_assignment,64.0,0.0,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226032
B,B_00007,replan_on_failure,80.5625,6.625,64.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226033
B,B_00007,probe_all_local,64.32,0.0,273.0,64,16,2,clustered,0.55,0.02,0.5,1.0,0.0,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,16,226033
