family,case_id,method,mean_cost,mean_failures,representation_size,horizon,num_guards,dependency_width,dependency_topology,reuse_bias,probe_cost,failure_penalty,repair_penalty,irreversible_rate,guard_error_rate,false_positive_rate,false_negative_rate,confidence_mode,confidence_threshold,missing_guard_fraction,spurious_guard_fraction,control,relevant_guards,seed
A,A_00004,gcs_eager,8.24,0.0,20.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126030
A,A_00004,gcs_lazy,8.24,0.0,22.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126030
A,A_00004,no_sharing_gcs,8.24,0.0,79.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126030
A,A_00004,oracle_assignment,8.0,0.0,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126030
A,A_00005,linear_default,38.333333,4.666667,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00005,replan_on_failure,21.0,1.833333,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00005,probe_all_tree,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00005,relevant_unshared_tree,8.24,0.0,79.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00005,gcs_eager,8.24,0.0,20.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00005,gcs_lazy,8.24,0.0,22.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00005,no_sharing_gcs,8.24,0.0,79.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00005,oracle_assignment,8.0,0.0,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126031
A,A_00006,linear_default,40.166667,5.166667,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126032
A,A_00006,replan_on_failure,21.333333,2.0,8.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126032
A,A_00006,probe_all_tree,8.32,0.0,159.0,8,4,1,clustered,0.0,0.08,4.0,1.0,0.35,0.0,-1.0,-1.0,calibrated,0.7,0.0,0.0,,3,126032
