horizon,reuse_bias,method,mean_cost,mean_failures,mean_representation_size,mean_relevant_guards
8,0.25,guarded_skeleton,8.2400,0.0000,31.07,3.00
8,0.25,linear_default,16.3627,1.7870,8.00,3.00
8,0.25,probe_all_tree,8.2400,0.0000,79.00,3.00
8,0.25,relevant_unshared_tree,8.2400,0.0000,79.00,3.00
8,0.25,replan_on_failure,19.9367,1.7870,8.00,3.00
8,0.55,guarded_skeleton,8.2293,0.0000,27.60,2.87
8,0.55,linear_default,16.4633,1.7560,8.00,2.87
8,0.55,probe_all_tree,8.2400,0.0000,79.00,2.87
8,0.55,relevant_unshared_tree,8.2293,0.0000,73.67,2.87
8,0.55,replan_on_failure,19.9753,1.7560,8.00,2.87
8,0.85,guarded_skeleton,8.2107,0.0000,35.63,2.63
8,0.85,linear_default,13.6433,1.2047,8.00,2.63
8,0.85,probe_all_tree,8.2400,0.0000,79.00,2.63
8,0.85,relevant_unshared_tree,8.2107,0.0000,64.33,2.63
8,0.85,replan_on_failure,16.0527,1.2047,8.00,2.63
16,0.25,guarded_skeleton,16.3200,0.0000,60.60,4.00
16,0.25,linear_default,28.2337,2.6558,16.00,4.00
16,0.25,probe_all_tree,16.3200,0.0000,287.00,4.00
16,0.25,relevant_unshared_tree,16.3200,0.0000,287.00,4.00
16,0.25,replan_on_failure,33.5453,2.6558,16.00,4.00
16,0.55,guarded_skeleton,16.3173,0.0000,68.97,3.97
16,0.55,linear_default,27.5817,2.5037,16.00,3.97
16,0.55,probe_all_tree,16.3200,0.0000,287.00,3.97
16,0.55,relevant_unshared_tree,16.3173,0.0000,282.20,3.97
16,0.55,replan_on_failure,32.5890,2.5037,16.00,3.97
16,0.85,guarded_skeleton,16.2933,0.0000,68.67,3.67
16,0.85,linear_default,27.2537,2.3185,16.00,3.67
16,0.85,probe_all_tree,16.3200,0.0000,287.00,3.67
16,0.85,relevant_unshared_tree,16.2933,0.0000,239.00,3.67
16,0.85,replan_on_failure,31.8907,2.3185,16.00,3.67
32,0.25,guarded_skeleton,32.6400,0.0000,137.00,8.00
32,0.25,linear_default,58.4463,5.7340,32.00,8.00
32,0.25,probe_all_tree,32.6400,0.0000,8703.00,8.00
32,0.25,relevant_unshared_tree,32.6400,0.0000,8703.00,8.00
32,0.25,replan_on_failure,69.9143,5.7340,32.00,8.00
32,0.55,guarded_skeleton,32.6347,0.0000,136.93,7.93
32,0.55,linear_default,58.7193,5.7107,32.00,7.93
32,0.55,probe_all_tree,32.6400,0.0000,8703.00,7.93
32,0.55,relevant_unshared_tree,32.6347,0.0000,8412.87,7.93
32,0.55,replan_on_failure,70.1407,5.7107,32.00,7.93
32,0.85,guarded_skeleton,32.6133,0.0000,136.67,7.67
32,0.85,linear_default,57.7353,5.5712,32.00,7.67
32,0.85,probe_all_tree,32.6400,0.0000,8703.00,7.67
32,0.85,relevant_unshared_tree,32.6133,0.0000,7252.33,7.67
32,0.85,replan_on_failure,68.8777,5.5712,32.00,7.67
48,0.25,guarded_skeleton,48.9573,0.0000,204.97,11.97
48,0.25,linear_default,90.0627,8.9063,48.00,11.97
48,0.25,probe_all_tree,48.9600,0.0000,204799.00,11.97
48,0.25,relevant_unshared_tree,48.9573,0.0000,201385.67,11.97
48,0.25,replan_on_failure,107.8753,8.9063,48.00,11.97
48,0.55,guarded_skeleton,48.9520,0.0000,204.90,11.90
48,0.55,linear_default,90.4500,8.9780,48.00,11.90
48,0.55,probe_all_tree,48.9600,0.0000,204799.00,11.90
48,0.55,relevant_unshared_tree,48.9520,0.0000,194559.00,11.90
48,0.55,replan_on_failure,108.4060,8.9780,48.00,11.90
48,0.85,guarded_skeleton,48.8933,0.0000,204.17,11.17
48,0.85,linear_default,86.0847,8.2035,48.00,11.17
48,0.85,probe_all_tree,48.9600,0.0000,204799.00,11.17
48,0.85,relevant_unshared_tree,48.8933,0.0000,126292.33,11.17
48,0.85,replan_on_failure,102.4917,8.2035,48.00,11.17
64,0.25,guarded_skeleton,65.2800,0.0000,273.00,16.00
64,0.25,linear_default,120.6200,11.9995,64.00,16.00
64,0.25,probe_all_tree,65.2800,0.0000,4325375.00,16.00
64,0.25,relevant_unshared_tree,65.2800,0.0000,4325375.00,16.00
64,0.25,replan_on_failure,144.6190,11.9995,64.00,16.00
64,0.55,guarded_skeleton,65.2613,0.0000,272.77,15.77
64,0.55,linear_default,120.0020,11.9022,64.00,15.77
64,0.55,probe_all_tree,65.2800,0.0000,4325375.00,15.77
64,0.55,relevant_unshared_tree,65.2613,0.0000,3820747.80,15.77
64,0.55,replan_on_failure,143.8063,11.9022,64.00,15.77
64,0.85,guarded_skeleton,65.2107,0.0000,272.13,15.13
64,0.85,linear_default,116.3327,11.1648,64.00,15.13
64,0.85,probe_all_tree,65.2800,0.0000,4325375.00,15.13
64,0.85,relevant_unshared_tree,65.2107,0.0000,2721381.40,15.13
64,0.85,replan_on_failure,138.6623,11.1648,64.00,15.13
