stress,level,seeds,mean_gcs_cost,mean_gcs_failures,mean_replan_cost,mean_delta_vs_replan
guard_error,0.00,30,65.2613,0.0000,143.8063,-78.5450
guard_error,0.05,30,70.5450,0.7865,143.8063,-73.2613
guard_error,0.10,30,75.4387,1.5160,143.8063,-68.3677
guard_error,0.20,30,85.5807,3.0248,143.8063,-58.2257
guard_error,0.40,30,103.9543,5.7533,143.8063,-39.8520
guard_error,0.80,30,135.4707,10.4525,143.8063,-8.3357
guard_error,1.00,30,148.4613,12.4000,143.8063,4.6550
probe_cost,0.08,30,65.2613,0.0000,143.8063,-78.5450
probe_cost,0.50,30,71.8833,0.0000,143.8063,-71.9230
probe_cost,1.00,30,79.7667,0.0000,143.8063,-64.0397
probe_cost,2.00,30,95.5333,0.0000,143.8063,-48.2730
probe_cost,4.00,30,127.0667,0.0000,143.8063,-16.7397
probe_cost,6.00,30,158.6000,0.0000,143.8063,14.7937
