stress,level,seed,gcs_cost,gcs_failures,replan_cost,delta_vs_replan
probe_cost,0.08,0,65.2800,0.0000,140.4500,-75.1700
probe_cost,0.50,0,72.0000,0.0000,140.4500,-68.4500
probe_cost,1.00,0,80.0000,0.0000,140.4500,-60.4500
probe_cost,2.00,0,96.0000,0.0000,140.4500,-44.4500
probe_cost,4.00,0,128.0000,0.0000,140.4500,-12.4500
probe_cost,6.00,0,160.0000,0.0000,140.4500,19.5500
guard_error,0.00,0,65.2800,0.0000,140.4500,-75.1700
guard_error,0.05,0,70.4700,0.8050,140.4500,-69.9800
guard_error,0.10,0,75.0700,1.5250,140.4500,-65.3800
guard_error,0.20,0,85.9300,3.2500,140.4500,-54.5200
guard_error,0.40,0,102.2700,5.8050,140.4500,-38.1800
guard_error,0.80,0,129.1700,10.0650,140.4500,-11.2800
guard_error,1.00,0,141.2800,12.0000,140.4500,0.8300
probe_cost,0.08,1,65.2800,0.0000,141.8800,-76.6000
probe_cost,0.50,1,72.0000,0.0000,141.8800,-69.8800
probe_cost,1.00,1,80.0000,0.0000,141.8800,-61.8800
probe_cost,2.00,1,96.0000,0.0000,141.8800,-45.8800
probe_cost,4.00,1,128.0000,0.0000,141.8800,-13.8800
probe_cost,6.00,1,160.0000,0.0000,141.8800,18.1200
guard_error,0.00,1,65.2800,0.0000,141.8800,-76.6000
guard_error,0.05,1,71.0400,0.9050,141.8800,-70.8400
guard_error,0.10,1,74.6300,1.4650,141.8800,-67.2500
guard_error,0.20,1,84.6000,3.0450,141.8800,-57.2800
guard_error,0.40,1,101.3500,5.6200,141.8800,-40.5300
guard_error,0.80,1,131.5400,10.2200,141.8800,-10.3400
guard_error,1.00,1,143.2800,12.0000,141.8800,1.4000
probe_cost,0.08,2,65.2800,0.0000,143.9200,-78.6400
probe_cost,0.50,2,72.0000,0.0000,143.9200,-71.9200
probe_cost,1.00,2,80.0000,0.0000,143.9200,-63.9200
probe_cost,2.00,2,96.0000,0.0000,143.9200,-47.9200
probe_cost,4.00,2,128.0000,0.0000,143.9200,-15.9200
