horizon,num_guards,reuse_bias,seed,method,expected_cost,expected_failures,representation_size,relevant_guards
8,3,0.25,0,linear_default,17.1200,2.2800,8.0,3
8,3,0.25,0,replan_on_failure,21.6800,2.2800,8.0,3
8,3,0.25,0,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,0,guarded_skeleton,8.2400,0.0000,30.0,3
8,3,0.25,0,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,1,linear_default,18.8100,1.8600,8.0,3
8,3,0.25,1,replan_on_failure,22.5300,1.8600,8.0,3
8,3,0.25,1,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,1,guarded_skeleton,8.2400,0.0000,30.0,3
8,3,0.25,1,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,2,linear_default,16.0000,1.8200,8.0,3
8,3,0.25,2,replan_on_failure,19.6400,1.8200,8.0,3
8,3,0.25,2,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,2,guarded_skeleton,8.2400,0.0000,36.0,3
8,3,0.25,2,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,3,linear_default,14.4400,1.6100,8.0,3
8,3,0.25,3,replan_on_failure,17.6600,1.6100,8.0,3
8,3,0.25,3,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,3,guarded_skeleton,8.2400,0.0000,32.0,3
8,3,0.25,3,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,4,linear_default,14.9700,1.4100,8.0,3
8,3,0.25,4,replan_on_failure,17.7900,1.4100,8.0,3
8,3,0.25,4,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,4,guarded_skeleton,8.2400,0.0000,32.0,3
8,3,0.25,4,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,5,linear_default,13.8000,1.4500,8.0,3
8,3,0.25,5,replan_on_failure,16.7000,1.4500,8.0,3
8,3,0.25,5,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,5,guarded_skeleton,8.2400,0.0000,32.0,3
8,3,0.25,5,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,6,linear_default,16.8200,1.7900,8.0,3
8,3,0.25,6,replan_on_failure,20.4000,1.7900,8.0,3
8,3,0.25,6,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,6,guarded_skeleton,8.2400,0.0000,36.0,3
8,3,0.25,6,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,7,linear_default,16.1300,1.8700,8.0,3
8,3,0.25,7,replan_on_failure,19.8700,1.8700,8.0,3
8,3,0.25,7,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,7,guarded_skeleton,8.2400,0.0000,34.0,3
8,3,0.25,7,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,8,linear_default,15.7500,1.5900,8.0,3
8,3,0.25,8,replan_on_failure,18.9300,1.5900,8.0,3
8,3,0.25,8,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,8,guarded_skeleton,8.2400,0.0000,32.0,3
8,3,0.25,8,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,9,linear_default,16.8900,1.7150,8.0,3
8,3,0.25,9,replan_on_failure,20.3200,1.7150,8.0,3
8,3,0.25,9,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,9,guarded_skeleton,8.2400,0.0000,32.0,3
8,3,0.25,9,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,10,linear_default,16.7800,1.7900,8.0,3
8,3,0.25,10,replan_on_failure,20.3600,1.7900,8.0,3
8,3,0.25,10,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,10,guarded_skeleton,8.2400,0.0000,34.0,3
8,3,0.25,10,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,11,linear_default,15.4400,1.6100,8.0,3
8,3,0.25,11,replan_on_failure,18.6600,1.6100,8.0,3
8,3,0.25,11,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,11,guarded_skeleton,8.2400,0.0000,32.0,3
8,3,0.25,11,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,12,linear_default,15.3300,1.6900,8.0,3
8,3,0.25,12,replan_on_failure,18.7100,1.6900,8.0,3
8,3,0.25,12,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,12,guarded_skeleton,8.2400,0.0000,30.0,3
8,3,0.25,12,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,13,linear_default,14.7000,1.6750,8.0,3
8,3,0.25,13,replan_on_failure,18.0500,1.6750,8.0,3
8,3,0.25,13,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,13,guarded_skeleton,8.2400,0.0000,26.0,3
8,3,0.25,13,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,14,linear_default,16.2600,1.9350,8.0,3
8,3,0.25,14,replan_on_failure,20.1300,1.9350,8.0,3
8,3,0.25,14,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,14,guarded_skeleton,8.2400,0.0000,28.0,3
8,3,0.25,14,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,15,linear_default,16.9500,1.7500,8.0,3
8,3,0.25,15,replan_on_failure,20.4500,1.7500,8.0,3
8,3,0.25,15,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,15,guarded_skeleton,8.2400,0.0000,28.0,3
8,3,0.25,15,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,16,linear_default,16.6600,1.7700,8.0,3
8,3,0.25,16,replan_on_failure,20.2000,1.7700,8.0,3
8,3,0.25,16,probe_all_tree,8.2400,0.0000,79.0,3
8,3,0.25,16,guarded_skeleton,8.2400,0.0000,32.0,3
8,3,0.25,16,relevant_unshared_tree,8.2400,0.0000,79.0,3
8,3,0.25,17,linear_default,14.9200,1.7300,8.0,3
8,3,0.25,17,replan_on_failure,18.3800,1.7300,8.0,3
